"DisplayName","DisplayVersion","Publisher","InstallLocation","UninstallString"
"Microsoft .NET Host - 9.0.19 (x64)","72.76.56792","Microsoft Corporation","","MsiExec.exe /X{C248215D-6C6B-404A-AB6E-505D4640E205}"
"Microsoft .NET Host FX Resolver - 10.0.11 (x64)","80.44.56884","Microsoft Corporation","","MsiExec.exe /X{208D3FC0-B592-4221-8E53-6B21621E9951}"
"Microsoft .NET Host FX Resolver - 10.0.11 (x86)","80.44.56884","Microsoft Corporation","","MsiExec.exe /X{F257F19C-D6EB-422B-B698-8C0F85E279A6}"
"Microsoft .NET Host FX Resolver - 6.0.36 (x64)","48.144.23141","Microsoft Corporation","","MsiExec.exe /X{A9E32B25-994B-4856-A12B-0EBED3050410}"
"Microsoft .NET Host FX Resolver - 8.0.30 (x64)","64.120.56788","Microsoft Corporation","","MsiExec.exe /X{563AD235-9445-4075-8F11-C4D08A8E639B}"
"Microsoft .NET Host FX Resolver - 9.0.19 (x64)","72.76.56792","Microsoft Corporation","","MsiExec.exe /X{13EF0513-4B2F-4375-B65B-2C89BFCFFB83}"
"Microsoft .NET Runtime - 10.0.11 (x64)","80.44.56884","Microsoft Corporation","","MsiExec.exe /X{0B4F3EF1-06F1-46E4-B662-A33DECC02141}"
"Microsoft .NET Runtime - 10.0.11 (x86)","80.44.56884","Microsoft Corporation","","MsiExec.exe /X{00DF1FF7-77D5-475D-9067-0D048B5798BF}"
"Microsoft .NET Runtime - 6.0.36 (x64)","48.144.23141","Microsoft Corporation","","MsiExec.exe /X{C912E33F-956A-4921-9F55-CC11AE8F09AF}"
"Microsoft .NET Runtime - 8.0.30 (x64)","64.120.56788","Microsoft Corporation","","MsiExec.exe /X{D629906C-1E1C-4728-AB21-81690B4F435C}"
"Microsoft .NET Runtime - 9.0.19 (x64)","72.76.56792","Microsoft Corporation","","MsiExec.exe /X{B482E2FD-38BB-43F2-8E97-0B7CB485EF18}"
"Microsoft Edge WebView2 Runtime","143.0.3650.139","Microsoft Corporation","C:\Program Files (x86)\Microsoft\EdgeWebView\Application","""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\Installer\setup.exe"" --uninstall --msedgewebview --system-level --verbose-logging"
"Microsoft GameInput","3.4.218.0","Microsoft Corporation","","MsiExec.exe /I{00791D71-93CB-4E56-A831-7DD6DF6626C8}"
"Microsoft ODBC Driver 18 for SQL Server","18.6.2.1","Microsoft Corporation","","MsiExec.exe /I{ACE6F31B-26B6-4A28-B814-10D94FAE5D73}"
"Microsoft OLE DB Driver 19 pour SQL Server","19.4.1.0","Microsoft Corporation","","MsiExec.exe /I{E474C9B2-6DB3-4A23-BEBC-4311CEC5D416}"
"Microsoft Visual Basic/C++ Runtime (x86)","1.1.0","Microsoft Corporation","","MsiExec.exe /X{C5E3A69D-D391-45A6-A8FB-00B01E2B010D}"
"Microsoft Visual C++ 2005 Redistributable","8.0.61187","Microsoft Corporation","","MsiExec.exe /X{710f4c1c-cc18-4c49-8cbf-51240c89a1a2}"
"Microsoft Visual C++ 2005 Redistributable (x64)","8.0.61186","Microsoft Corporation","","MsiExec.exe /X{ad8a2fa1-06e7-4b0d-927d-6e54b3d31028}"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.7523","9.0.30729.7523","Microsoft Corporation","","MsiExec.exe /X{5FCE6D76-F5DC-37AB-B2B8-22AB8CEDB1D4}"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.7523","9.0.30729.7523","Microsoft Corporation","","MsiExec.exe /X{9BE518E6-ECC6-35A9-88E4-87755C07200F}"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","","MsiExec.exe /X{1D8E6291-B0D5-35EC-8441-6616F567A0F7}"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","","MsiExec.exe /X{F0C3E5D1-1ADE-321E-8167-68EF0DE699A5}"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61135","11.0.61135","Microsoft Corporation","","MsiExec.exe /X{37B8F9C7-03FB-3253-8781-2517C99D7C00}"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61135","11.0.61135","Microsoft Corporation","","MsiExec.exe /X{CF2BEA3C-26EA-32F8-AA9B-331F7E34BA97}"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61135","11.0.61135","Microsoft Corporation","","MsiExec.exe /X{B175520C-86A2-35A7-8619-86DC379688B9}"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61135","11.0.61135","Microsoft Corporation","","MsiExec.exe /X{BD95A8CD-1D9F-35AD-981A-3E7925026EBB}"
