"Name","Class","SizeGB","Parameters","Quantization","TestsPassed","TestsTotal","ScorePercent","Deterministic","AverageTokSec","AverageLatencyMs","PeakRamMB","Verdict"
"mrasif/gpt-oss-20b-GGUF:Q4_K_M","GENERATIVE","10,826","20.9B","unknown","10","10","100","True","9,135","26532,05","136,46","QUALIFIED"
"qwen3:8b","GENERATIVE","4,867","8.2B","Q4_K_M","5","10","50","True","5,682","42774,75","127,63","FAILED"
"granite4.1:8b","GENERATIVE","4,981","8.8B","Q4_K_M","8","10","80","True","5,835","15585,45","125,52","PARTIAL"
"qwen3:14b","GENERATIVE","8,639","14.8B","Q4_K_M","2","10","20","True","3,616","70914,7","128,1","FAILED"
"qwen2.5-coder:14b","GENERATIVE","8,371","14.8B","Q4_K_M","8","10","80","True","4,39","18783,2","127,08","PARTIAL"
"qwen2.5-coder:7b","GENERATIVE","4,361","7.6B","Q4_K_M","8","10","80","True","8,288","9846,7","126,57","PARTIAL"
"hf.co/mradermacher/Kiwi-4b-i1-GGUF:Q4_K_M","GENERATIVE","2,326","4.02B","unknown","4","10","40","True","8,792","28554,8","127,95","FAILED"
"qwen3-coder:30b","GENERATIVE","17,282","30.5B","Q4_K_M","9","10","90","True","8,407","36443,6","125,49","PARTIAL"
