"Drive","Path","Name","Extension","SizeGB","SizeMB","LastWrite","Type"
"C","C:\ProgramData\NVIDIA\NGX\models\dlssg\versions\20317440\files\160_E658700.bin","160_E658700.bin",".bin","0,007","7,2","10/01/2026 21:48:54","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlssg\versions\20317442\files\160_E658700.bin","160_E658700.bin",".bin","0,007","7,2","14/01/2026 12:56:27","Model/File"
"C","C:\Users\enrik\AppData\Roaming\Netease\Mpay\MWSlocalStorage\ngwebview_x20_steam\OnDeviceHeadSuggestModel\20251024.824731831.14\cr_en-us_500000_index.bin","cr_en-us_500000_index.bin",".bin","0,007","7,6","31/10/2025 09:38:04","Model/File"
"C","C:\Users\enrik\AppData\Local\BraveSoftware\Brave-Browser\User Data\OnDeviceHeadSuggestModel\20251024.824731831.14\cr_fr_500000_index.bin","cr_fr_500000_index.bin",".bin","0,007","7,2","31/10/2025 09:47:30","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlssg\versions\20317696\files\160_E658700.bin","160_E658700.bin",".bin","0,007","7,2","31/03/2026 19:08:51","Model/File"
"C","C:\Users\enrik\AppData\Local\Epic Games\EOSOverlay\BrowserCache\1\OnDeviceHeadSuggestModel\20251024.824731831.14\cr_en-us_500000_index.bin","cr_en-us_500000_index.bin",".bin","0,007","7,6","31/10/2025 09:38:04","Model/File"
"C","C:\Users\enrik\AppData\Local\Epic Games\EOSOverlay\BrowserCache\0\OnDeviceHeadSuggestModel\20251024.824731831.14\cr_en-us_500000_index.bin","cr_en-us_500000_index.bin",".bin","0,007","7,6","31/10/2025 09:38:04","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlisp\versions\66405\files\160_B9DF510.bin","160_B9DF510.bin",".bin","0,005","5,3","05/12/2025 11:52:41","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\66410\files\160_B9DF510.bin","160_B9DF510.bin",".bin","0,005","5,3","05/12/2025 11:52:14","Model/File"
"G","G:\AI\E-zzio\runtime\realtime\models\kokoro\current\voices.bin","voices.bin",".bin","0,005","5,5","13/08/2026 23:13:17","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlisp\versions\20316160\files\160_E658703.bin","160_E658703.bin",".bin","0,004","3,9","05/12/2025 11:52:38","Model/File"
