"Count","File","Extension","Directory","Category","Example"
"13443","G:\AI\E-zzio\runtime\audit\storage_migration\c_reference_classifier\C_REFERENCE_CLASSIFICATION_20260814_154621.txt",".txt","G:\AI\E-zzio\runtime\audit\storage_migration\c_reference_classifier","AUDIT","- Ligne 656 : `""C:\Users\enrik\AppData\Roaming\npm\opencode.cmd"" run -m ollama/qwen2.5-coder:7b -i`"
"13259","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic\FORENSIC_MAPPING_20260814_154221.txt",".txt","G:\AI\E-zzio\runtime\audit\storage_migration\parallel_forensic","AUDIT","C:\Users\enrik\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\Lib\venv\scripts\nt\python.exe No pyvenv.c…"
"166","G:\AI\E-zzio\runtime\audit\storage_migration\AI_STORAGE_FORENSIC_20260814_152956.txt",".txt","G:\AI\E-zzio\runtime\audit\storage_migration","AUDIT","C     C:\Users\enrik\AppData\Local\hermes\hermes-agent\venv\Lib\site-packages\distutils-precedence.pth"
"7","G:\AI\E-zzio\runtime\audit\pc_software_inventory\path_entries_20260814-151513.txt",".txt","G:\AI\E-zzio\runtime\audit\pc_software_inventory","AUDIT","C:\Users\enrik\AppData\Local\hermes\bin"
"3","G:\AI\E-zzio\runtime\audit\pc_software_inventory\v2\software_locations_20260814-151640.txt",".txt","G:\AI\E-zzio\runtime\audit\pc_software_inventory\v2","AUDIT","C:\Users\enrik\AppData\Local"
"1","G:\AI\E-zzio\runtime\audit\intelligence_scan\V7_REGISTRY\V7_10_2_EMISSION_EVENT_REPORT.md",".md","G:\AI\E-zzio\runtime\audit\intelligence_scan\V7_REGISTRY","AUDIT","- Ligne 656 : `""C:\Users\enrik\AppData\Roaming\npm\opencode.cmd"" run -m ollama/qwen2.5-coder:7b -i`"
"1","G:\AI\E-zzio\runtime\audit\pc_software_inventory\v2\python_packages_20260814-151640.txt",".txt","G:\AI\E-zzio\runtime\audit\pc_software_inventory\v2","AUDIT","hermes-agent                 0.18.2      C:\Users\enrik\AppData\Local\hermes\hermes-agent"
"1","G:\AI\E-zzio\tools\voice_converter\.venv\pyvenv.cfg",".cfg","G:\AI\E-zzio\tools\voice_converter\.venv","OTHER","home = C:\Users\enrik\AppData\Roaming\uv\python\cpython-3.11-windows-x86_64-none"
